iter	MultiClass
0	1.014305349
1	0.9495623777
2	0.8891036701
3	0.8402166232
4	0.7959338789
5	0.7586560397
6	0.723064008
7	0.6917571557
8	0.6618694477
9	0.6323933527
10	0.6095285631
11	0.5866353004
12	0.5657229004
13	0.5474696789
14	0.5300467885
15	0.5169536183
16	0.504214221
17	0.4919009702
18	0.4789288757
19	0.4683028153
20	0.4577054764
21	0.446576285
22	0.4400004587
23	0.4317594696
24	0.4235572112
25	0.4171404877
26	0.4092229739
27	0.4030098453
28	0.3982424336
29	0.3932242657
30	0.3877537619
31	0.382895189
32	0.3784768957
33	0.3736921031
34	0.3697724284
35	0.3653360131
36	0.3616460541
37	0.3583601416
38	0.3547738489
39	0.3516389179
40	0.3484998423
41	0.3457515234
42	0.3427839442
43	0.3401310222
44	0.3374782585
45	0.3348577156
46	0.3321068324
47	0.3300321382
48	0.327800631
49	0.3264857333
50	0.3245838134
51	0.3229985028
52	0.3222871699
53	0.3203640044
54	0.3193176312
55	0.3179223937
56	0.3162008258
57	0.3143491125
58	0.3128375614
59	0.3114628866
60	0.3106863735
61	0.3089415124
62	0.3074884129
63	0.3062431017
64	0.3045927168
65	0.303322741
66	0.3020964606
67	0.3010896669
68	0.2997964068
69	0.2982692303
70	0.2971260784
71	0.2963363067
72	0.2951334572
73	0.2942059463
74	0.2931312976
75	0.2919383886
76	0.2908788684
77	0.2894176593
78	0.2887796245
79	0.2879918321
80	0.287409932
81	0.2867613837
82	0.2859627469
83	0.2855662648
84	0.284914061
85	0.2841310835
86	0.28307799
87	0.2819217578
88	0.2809519879
89	0.2801795528
90	0.2793546731
91	0.2787862383
92	0.278149826
93	0.2774588341
94	0.2765972242
95	0.2760715542
96	0.2754371718
97	0.2745795647
98	0.2737765159
99	0.2731220223
100	0.2723713925
101	0.2719006813
102	0.2713345603
103	0.2706466167
104	0.2699248844
105	0.2694383099
106	0.2687663207
107	0.2681421967
108	0.2673220497
109	0.2669504999
110	0.2665635201
111	0.2663127098
112	0.2658295924
113	0.2650784432
114	0.26453558
115	0.2639650343
116	0.2635051299
117	0.2630973076
118	0.2625899101
119	0.2620344833
120	0.2613885736
121	0.2609202233
122	0.2604118065
123	0.2599771437
124	0.259511029
125	0.2589785522
126	0.2584190006
127	0.2578586101
128	0.2575358455
129	0.2571386978
130	0.2567346643
131	0.2563357577
132	0.2559363201
133	0.2554576469
134	0.2551255122
135	0.2545087769
136	0.2540535083
137	0.2535572058
138	0.2532176045
139	0.2525997754
140	0.2523467646
141	0.2520025823
142	0.2514940826
143	0.2512447986
144	0.2509315714
145	0.2506192652
146	0.2503006232
147	0.2497579623
148	0.2496150754
149	0.2494203534
150	0.2490897845
151	0.2486139391
152	0.2482787284
153	0.2480134028
154	0.2476409769
155	0.2473696489
156	0.2471220758
157	0.246797163
158	0.2464799741
159	0.2461267872
160	0.245831503
161	0.2455787199
162	0.2453567087
163	0.245080775
164	0.2448724579
165	0.2446192376
166	0.2443690894
167	0.2440618572
168	0.2436484695
169	0.2433609302
170	0.2431296483
171	0.2428298564
172	0.2425296225
173	0.2422623891
174	0.2419929846
175	0.2417263736
176	0.2414770132
177	0.2411986841
178	0.2409146788
179	0.2407044797
180	0.2405779208
181	0.2404148251
182	0.2401864697
183	0.2400283139
184	0.2397859298
185	0.2395284386
186	0.2393739108
187	0.2391286012
188	0.2389694714
189	0.2386759617
190	0.238446126
191	0.2382193436
192	0.2379772357
193	0.2377247616
194	0.2374917082
195	0.2372838857
196	0.237099197
197	0.2368519121
198	0.2367247144
199	0.2365359712
200	0.236306866
201	0.2360484262
202	0.235791581
203	0.2356495032
204	0.2355081352
205	0.2352829176
206	0.235043764
207	0.2349024813
208	0.2347684415
209	0.2346239356
210	0.2344497567
211	0.2342960707
212	0.2341494733
213	0.2340322839
214	0.2338307069
215	0.2337184294
216	0.2335689354
217	0.2333449646
218	0.2331865967
219	0.2330454482
220	0.232853061
221	0.2327405222
222	0.2326409391
223	0.2325348058
224	0.2323907874
225	0.2322400098
226	0.2320731768
227	0.2319239569
228	0.2317963961
229	0.2316449483
230	0.2314942401
231	0.2313573307
232	0.2311280642
233	0.2309967673
234	0.2308865824
235	0.2307467783
236	0.2306143355
237	0.2304881171
238	0.2302827858
239	0.2301619864
240	0.2300534021
241	0.2299027473
242	0.2297891688
243	0.2296875198
244	0.2295895031
245	0.2294542123
246	0.2293035195
247	0.2291483305
248	0.2290260714
249	0.2288809277
250	0.2287465363
251	0.2285967622
252	0.2284547682
253	0.2283086085
254	0.2281713018
255	0.2280617958
256	0.2279399543
257	0.2278060254
258	0.2276356927
259	0.2275257848
260	0.2273536035
261	0.2272195383
262	0.227082929
263	0.2269855716
264	0.2268732598
265	0.2267400986
266	0.2266259006
267	0.2265413358
268	0.2264228058
269	0.2263124566
270	0.2262062273
271	0.2261115301
272	0.2259797434
273	0.2258729343
274	0.2257588109
275	0.225657861
276	0.2255317492
277	0.2254016001
278	0.225253704
279	0.22511336
280	0.2249987942
281	0.2249210173
282	0.224798972
283	0.2246998208
284	0.2245824949
285	0.2244774732
286	0.2243748476
287	0.2242538248
288	0.2241710781
289	0.2240885752
290	0.2240010313
291	0.2239262579
292	0.2238631139
293	0.2237652723
294	0.2236878429
295	0.2235974424
296	0.2235108342
297	0.2233875595
298	0.2232911061
299	0.2232006561
300	0.2231097663
301	0.2230616033
302	0.2229471642
303	0.2228618941
304	0.2228026942
305	0.2226984865
306	0.2226450188
307	0.2225523106
308	0.2224604295
309	0.2223775935
310	0.2222946847
